abandon	оставить
passage	проход
passenger	пассажир
passion	страсть
passport	паспорт
past	прошлое
path	путь
patient	терпеливый
pattern	шаблон
pay	платить
payment	оплата
peace	мир
peaceful	мирный
pen	ручка
pencil	карандаш
penny	пенни
pension	пенсия
people	люди
pepper	перец
per	по
percent	процент
percentage	процент
perfect	идеальный
perfectly	идеально
perform	выполнять
performance	представление
perhaps	возможно
period	период
permanent	постоянный
permission	разрешение
permit	разрешать
person	человек
personal	личный
personality	личность
personally	лично
perspective	перспектива
persuade	убеждать
pet	домашнее животное
petrol	бензин
phase	фаза
phenomenon	феномен
philosophy	философия
phone	телефон
photo	фото
photograph	фотография
photographer	фотограф
photography	фотография
phrase	фраза
physical	физический
physics	физика
piano	пианино
pick	выбирать
picture	изображение
piece	кусок
pig	свинья
pile	куча
pilot	летчик
pin	пин
pink	розовый
pipe	труба
pitch	подача
place	место
plain	простой
plan	план
plane	самолет
planet	планета
planning	планирование
plant	растение
plastic	пластик
plate	тарелка
platform	платформа
play	играть
player	игрок
pleasant	приятный
please	пожалуйста
pleased	довольный
pleasure	удовольствие
plenty	множество
plot	сюжет
plus	плюс
pocket	карман
poem	стих
poet	поэт
poetry	поэзия
point	точка
pointed	указываемый
poison	яд
poisonous	ядовитый
police	полиция
policeman	полицейский
policy	политика
polite	вежливый
political	политический
politician	политик
politics	политика
pollution	загрязнение
pool	бассейн
poor	бедный
pop	хлопок
popular	популярный
popularity	популярность
population	население
port	порт
portrait	портрет
pose	позировать
position	позиция
positive	положительный
possess	обладать
possession	владение
possibility	возможность
possible	возможный
possibly	возможно
post	пост
poster	плакат
pot	горшок
potato	картофель
potential	потенциал
pound	фунт
pour	наливать
poverty	бедность
powder	порошок
power	сила
powerful	мощный
practical	практическое
practice	практика
practise	практиковать
praise	хвалить
pray	молиться
prayer	молитва
predict	прогнозировать
prediction	предсказание
prefer	предпочитать
pregnant	беременная
preparation	подготовка
prepare	подготовить
prepared	подготовленный
presence	присутствие
present	подарок
presentation	презентация
preserve	сохранять
president	президент
press	нажимать
pressure	давление
pretend	притворяться
pretty	хорошенький
prevent	предотвращать
previous	предыдущий
previously	ранее
price	цена
priest	священник
primary	первичный
prime	основной
prince	принц
princess	принцесса
principle	принцип
print	печатать
printer	принтер
printing	печатание
priority	приоритет
prison	тюрьма
prisoner	заключенный
privacy	конфиденциальность
private	частный
prize	приз
probably	возможно
problem	проблема
procedure	процедура
process	процесс
produce	производить
producer	производитель
product	продукт
production	производство
profession	профессия
professional	профессиональный
professor	профессор
profile	профиль
profit	прибыль
program	программа
programme	программа
progress	прогресс
project	проект
promise	обещать
promote	способствовать
pronounce	произносить
proof	доказательство
proper	правильный
properly	должным образом
property	собственность
proposal	предложение
propose	предлагать
prospect	перспектива
protect	защищать
protection	защита
protest	протест
proud	гордый
prove	доказывать
provide	обеспечивать
psychologist	психолог
psychology	психология
pub	паб
public	общественный
publication	публикация
publish	публиковать
pull	тянуть
punish	наказывать
punishment	наказание
pupil	ученик
purchase	покупка
pure	чистый
purple	фиолетовый
purpose	цель
pursue	преследовать
push	толкать
put	класть
qualification	квалификация
qualified	квалифицированный
qualify	квалифицировать
quality	качество
quantity	количество
quarter	четверть
queen	королева
question	вопрос
queue	очередь
quick	быстрый
quickly	быстро
quiet	тихий
quietly	тихо
quit	выходить
quite	довольно
quotation	цитата
quote	цитата
race	гонка
race	раса
racing	гоночный
radio	радио
railway	железнодорожный
rain	дождь
raise	поднимать
range	диапазон
rank	ранг
rapid	быстрый
rapidly	быстро
rare	редкий
rarely	редко
rate	ставка
rather	скорее
raw	сырой
reach	достичь
react	реагировать
reaction	реакция
read	читать
reader	читатель
reading	чтение
ready	готовый
real	реальный"
realistic	реалистичный
reality	реальность
realize	осознавать
really	действительно
reason	причина
reasonable	разумный
recall	отзыв
receipt	чек
receive	получать
recent	недавний
recently	недавно
reception	прием
recipe	рецепт
recognize	распознавать
recommend	рекомендовать
recommendation	рекомендация
record	запись
recording	запись
recover	восстановиться
recycle	перерабатывать
red	красный
reduce	уменьшить
reduction	сокращение
refer	относиться
reference	ссылка
reflect	отражать
refuse	отказаться
regard	уважение
region	регион
regional	региональный
register	зарегистрировать
regret	сожаление
regular	регулярный
regularly	регулярно
regulation	регулирование
reject	отклонять
relate	относиться
related	связанный
relation	отношение
relationship	отношения
relative	родственник
relatively	относительно
relax	расслабиться
relaxed	расслабленный
relaxing	расслабляющий
release	освобождать
relevant	подходящий
reliable	надежный
relief	облегчение
religion	религия
religious	религиозный
rely	полагаться
remain	оставаться
remark	замечание
remember	помнить
remind	напоминать
remote	удаленный
remove	удалить
rent	арендовать
repair	ремонт
repeat	повторять
repeated	повторный
replace	заменять
reply	отвечать
report	доклад
reporter	репортер
represent	представлять
representative	представитель
reputation	репутация
request	запрос
require	требовать
requirement	требование
rescue	спасение
research	исследование
researcher	исследователь
reservation	бронирование
reserve	резерв
resident	житель
resist	сопротивляться
resolve	разрешить
resort	курорт
resource	ресурс
respect	уважение
respond	откликнуться
response	ответ
responsibility	ответственность
responsible	ответственный
rest	остальное
rest	отдыхать
restaurant	ресторан
result	результат
retain	удерживать
retire	уходить в отставку
retired	в отставке
return	вернуть
reveal	раскрыть
review	обзор
revise	пересматривать
revolution	революция
reward	награда
rhythm	ритм
rice	рис
rich	богатый
rid	избавлять
ride	ездить
right	право
ring	кольцо
ring	звонить
rise	подъем
risk	рисковать
river	река
road	дорога
robot	робот
rock	рок
rock	скала
role	роль
roll	рулон
romantic	романтический
roof	крыша
room	комната
root	корень
rope	веревка
rough	грубый
round	круглый
route	маршрут
routine	рутина
row	строка
royal	королевский
rub	тереть
rubber	резинка
rubbish	мусор
rude	грубый
rugby	регби
rule	правило
run	бежать
runner	бегун
running	бегущий
rural	сельский
rush	спешка
sad	грустный
sadly	грустно
safe	безопасный
safety	безопасность
sail	парус
sailing	парусный спорт
sailor	моряк
salad	салат
salary	зарплата
sale	продажа
salt	соль
same	такой же
sample	образец
sand	песок
sandwich	сэндвич
satellite	спутник
satisfied	удовлетворенный
satisfy	удовлетворять
Saturday	Суббота
sauce	соус
save	сохранить
saving	экономия
say	сказать
scale	масштаб
scan	сканировать
scared	напуганный
scary	страшный
scene	сцена
schedule	график
scheme	схема
school	школа
science	наука
scientific	научный
scientist	ученый
score	счет
scream	крик
screen	экран
script	скрипт
sculpture	скульптура
sea	море
search	поиск
season	сезон
seat	сиденье
second	второй
second	секунда
secondary	вторичный
secondly	во-вторых
secret	секрет
secretary	секретарь
section	раздел
sector	сектор
secure	безопасный
security	безопасность
see	видеть
seed	семя
seek	искать
seem	казаться
select	выбирать
selection	выбор
self	сам
sell	продавать
send	посылать
senior	старший
sense	чувство
sensible	здравомыслящий
sensitive	чувствительный
sentence	предложение
separate	разделять
September	Сентябрь
sequence	последовательность
series	серии
serious	серьезный
seriously	серьезно
servant	слуга
serve	обслуживать
service	обслуживание
session	сессия
set	набор
set	устанавливать
setting	установка
settle	селиться
seven	семь
seventeen	семнадцать
seventy	семьдесят
several	несколько
severe	суровый
sex	секс
sexual	сексуальный
shade	тень
shadow	тень
shake	трясти
shall	должен
shallow	мелкий
shame	позор
shape	форма
share	делиться
sharp	острый
she	она
sheep	овца
sheet	лист
shelf	полка
shell	ракушка
shelter	укрытие
shift	сдвиг
shine	сиять
shiny	блестящий
ship	корабль
shirt	рубашка
shock	шок
shocked	шокирован
shoe	башмак
shoot	стрелять
shooting	стрельба
shop	магазин
shopping	поход по магазинам
short	короткий
shot	выстрел
should	должен
shoulder	плечо
shout	крик
show	показывать
shower	душ
shut	закрыть
shy	застенчивый
sick	больной
side	сторона
sight	взгляд
sign	знак
signal	сигнал
significant	существенный
significantly	существенно
silence	тишина
silent	тихий
silk	шелк
silly	глупый
silver	серебро
similar	схожий
similarity	сходство
similarly	аналогично
simple	простой
simply	просто
since	с
sincere	искренний
sing	петь
singer	певец
singing	пение
single	одиночный
sink	раковина
sir	сэр
sister	сестра
sit	сидеть
site	сайт
situation	ситуация
six	шесть
sixteen	шестнадцать
sixty	шестьдесят
size	размер
ski	кататься на лыжах
skiing	катание на лыжах
skill	навык
skin	кожа
skirt	юбка
sky	небо
slave	рабыня
sleep	спать
slice	ломтик
slide	горка
slight	незначительный
slightly	слегка
slip	скользить
slope	склон
slow	медленный
slowly	медленно
small	маленький
smart	умный
smartphone	смартфон
smell	запах
smile	улыбка
smoke	дым
smoking	курение
smooth	гладкий
snake	змея
snow	снег
so	так
soap	мыло
soccer	футбол
social	общественный
society	общество
sock	носок
soft	мягкий
software	программное обеспечение
soil	почва
solar	солнечный
soldier	солдат
solid	твердый
solution	решение
solve	решать
some	некоторые
somebody	кто-то
someone	кто-то
something	что-то
sometimes	иногда
somewhat	в некотором роде
somewhere	где-то
son	сын
song	песня
soon	скоро
sorry	извиняюсь
sort	сортировать
soul	душа
sound	звук
soup	суп
source	источник
south	юг
southern	южный
space	пространство
speak	говорить
speaker	оратор
special	особый
specialist	специалист
species	вид
specific	специфический
specifically	конкретно
speech	речь
speed	скорость
spell	заклинание
spelling	написание
spend	тратить
spending	расходующий
spicy	острый
spider	паук
spirit	дух
spiritual	духовный
split	расщеплять
spoken	высказанный
sponsor	спонсор
spoon	ложка
sport	спорт
spot	пятно
spread	распространение
spring	весна
square	площадь
stable	стабильный
stadium	стадион
staff	персонал
stage	этап
stair	ступенька
stamp	печать
stand	стоять
standard	стандарт
star	звезда
stare	глазеть
start	начало
state	государство
statement	заявление
station	станция
statistic	статистические
statue	статуя
status	статус
stay	остаться
steady	устойчивый
steal	красть
steel	сталь
steep	крутой
step	шаг
stick	палка
stick	придерживаться
sticky	липкий
stiff	жесткий
still	все еще
stock	склад
stomach	желудок
stone	камень
stop	остановка
store	магазин
storm	буря
story	история
straight	прямой
strange	странный
stranger	незнакомец
strategy	стратегия
stream	течение
street	улица
strength	сила
stress	стресс
stretch	протяжение
strict	строгий
strike	удар
string	строка
strong	сильный
strongly	сильно
structure	структура
struggle	борьба
student	студент
studio	студия
study	изучать
stuff	материал
stupid	глупый
style	стиль
subject	предмет
submit	представить
substance	вещество
succeed	успешный
success	успех
successful	успешный
successfully	успешно
such	такой
sudden	внезапный
suddenly	внезапно
suffer	страдать
sugar	сахар
suggest	предлагать
suggestion	предложение
suit	подходить
suitable	подходящий
sum	сумма
summarize	подводить итоги
summary	резюме
summer	лето
sun	солнце
Sunday	Воскресенье
supermarket	супермаркет
supply	поставка
support	поддержка
supporter	сторонник
suppose	предполагать
sure	конечно
surely	конечно
surface	поверхность
surgery	хирургия
surprise	сюрприз
surprised	удивленный
surprising	удивительный
surround	окружать
surrounding	окружающий
survey	опрос
survive	выжить
suspect	подозревать
swear	клятва
sweater	свитер
sweep	подметать
sweet	сладкий
swim	плавать
swimming	плавание
switch	переключатель
symbol	символ
sympathy	симпатия
symptom	симптом
system	система
table	стол
tablet	таблетка
tail	хвост
take	брать
tale	сказка
talent	талант
talented	талантливый
talk	говорить
tall	высокий
tank	бак
tape	лента
target	цель
task	задача
taste	вкус
tax	налог
taxi	такси
tea	чай
teach	учить
teacher	учитель
teaching	обучение
team	команда
tear	рвать
tear	слеза
technical	технический
technique	техника
technology	технология
teenage	подростковый
teenager	подросток
telephone	телефон
television	телевидение
tell	рассказывать
temperature	температура
temporary	временный
ten	десять
tend	иметь тенденцию
tennis	теннис
tent	палатка
term	срок
terrible	ужасный
test	тест
text	текст
than	чем
thank	благодарить
thanks	спасибо
that	тот
theatre	театр
their	их
theirs	их
them	их
theme	тема
themselves	самих себя
then	затем
theory	теория
therapy	терапия
there	там
therefore	следовательно
they	они
thick	толстый
thief	вор
thin	тонкий
thing	вещь
think	думать
thinking	размышляющий
third	третий
thirsty	жаждущий
thirteen	тринадцать
thirty	тридцать
this	этот
though	хотя
thought	мысль
thousand	тысяча
threat	угроза
threaten	угрожать
three	три
throat	горло
through	через
throughout	через
throw	бросать
Thursday	Четверг
thus	таким образом
ticket	билет
tidy	аккуратный
tie	галстук
tight	плотный
till	пока
time	время
tin	олово
tiny	крошечный
tip	совет
tired	уставший
title	заглавие
to	к
today	сегодня
toe	палец ноги
together	вместе
toilet	туалет
tomato	помидор
tomorrow	завтра
tone	тон
tongue	язык
tonight	сегодня вечером
too	тоже
tool	инструмент
tooth	зуб
top	верхний
topic	тема
total	весь
totally	полностью
touch	прикасаться
tough	жесткий
tour	тур
tourism	туризм
tourist	турист
towards	в направлении
towel	полотенце
tower	башня
town	город
toy	игрушка
track	дорожка
trade	торговля
tradition	традиция
traditional	традиционный
traffic	движение
train	поезд
trainer	тренер
training	обучение
transfer	перемещение
transform	преобразовать
transition	переход
translate	переводить
translation	перевод
transport	транспорт
travel	путешествовать
traveller	путешественник
treat	лечить
treatment	лечение
tree	дерево
trend	тенденция
trial	пробный
trick	уловка
trip	поездка
tropical	тропический
trouble	беда
trousers	брюки
truck	грузовик
true	истинный
truly	действительно
trust	доверять
truth	правда
try	пробовать
T-shirt	Футболка
tube	трубка
Tuesday	Вторник
tune	мелодия
tunnel	тоннель
turn	очередь
TV	ТВ
twelve	двенадцать
twenty	двадцать
twice	дважды
twin	близнец
two	два
type	тип
typical	типичный
typically	типично
tyre	шина
ugly	уродливый
ultimately	в конце концов
umbrella	зонтик
unable	не в состоянии
uncle	дядя
uncomfortable	неудобный
unconscious	без сознания
under	под
underground	подземный
understand	понимать
understanding	понимание
underwear	нижнее белье
unemployed	безработный
unemployment	безработица
unexpected	неожиданный
unfair	несправедливый
unfortunately	к несчастью
unhappy	несчастный
uniform	униформа
union	союз
unique	уникальный
unit	единица измерения
united	объединенный
universe	вселенная
university	университет
unknown	неизвестный
unless	если не
unlike	в отличие от
unlikely	вряд ли
unnecessary	ненужный
unpleasant	неприятный
until	до тех пор
unusual	необычный
up	вверх
update	обновление
upon	на
upper	верхний
upset	расстроенный
upstairs	вверх по лестнице
upwards	вверх
urban	городской
urge	побуждать
us	нам
use	использовать
used	используемый
used	старый
used to	привык
useful	полезный
user	пользователь
usual	обычный
usually	обычно
vacation	отпуск
valley	долина
valuable	ценный
value	ценность
van	фургон
variety	разнообразие
various	различный
vary	различаться
vast	обширный
vegetable	овощ
vehicle	транспортное средство
venue	место встречи
version	версия
very	очень
via	через
victim	жертва
victory	победа
video	видео
view	вид
viewer	зритель
village	деревня
violence	насилие
violent	насильственный
virtual	виртуальный
virus	вирус
vision	видение
visit	посетить
visitor	посетитель
visual	визуальный
vital	жизненно важный
vitamin	витамин
voice	голос
volume	объем
volunteer	доброволец
vote	голос
wage	заработная плата
wait	ждать
waiter	официант
wake	просыпаться
walk	идти
wall	стена
want	хотеть
war	война
warm	теплый
warn	предупреждать
warning	предупреждение
wash	мыть
washing	стирка
waste	отходы
watch	часы
water	вода
wave	волна
way	путь
we	мы
weak	слабый
weakness	слабость
wealth	богатство
wealthy	состоятельный
weapon	оружие
wear	носить
weather	погода
web	сеть
website	вебсайт
wedding	свадьба
Wednesday	Среда
week	неделя
weekend	выходные
weigh	весить
weight	вес
welcome	добро пожаловать
well	хорошо
west	запад
western	западный
wet	мокрый
what	что
whatever	что угодно
wheel	колесо
when	когда
whenever	всякий раз, когда
where	где
whereas	в то время как
wherever	где бы
whether	будь то
which	который
while	пока
whisper	шепот
white	белый
who	кто
whole	весь
whom	кому
whose	чья
why	почему?
wide	широкий
widely	широко
wife	жена
wild	дикий
wildlife	живая природа
will	будет
willing	готовы
win	выиграть
wind	ветер
wind	наматывать
window	окно
wine	вино
wing	крыло
winner	победитель
winter	зима
wire	провод
wise	мудрый
wish	желание
with	с
within	внутри
without	без
witness	свидетель
woman	женщина
wonder	удивляться
wonderful	прекрасный
wood	дерево
wooden	деревянный
wool	шерсть
word	слово
work	работа
worker	работник
working	работающий
world	мир
worldwide	общемировой
worried	взволнованный
worry	беспокоиться
worse	хуже
worst	наихудший
worth	значимость
would	было бы
wound	рана
wow	вау
wrap	заворачивать
write	писать
writer	писатель
writing	пишу
written	написанный
wrong	неправильный
yard	двор
yeah	да
year	год
yellow	желтый
yes	да
yesterday	вчера
yet	пока
you	ты
young	молодой
your	твой
yours	твой
yourself	себя
youth	молодежь
zero	ноль
zone	зона
