abolish	упразднять
slavery	рабство
slogan	лозунг
slot	слот
smash	громить
snap	щелкать
so-called	так называемый
soak	впитывать
soar	парить
socialist	социалист
sole	подошва
solely	исключительно
solicitor	адвокат
solidarity	солидарность
solo	сольный
somehow	как-то
sometime	иногда
sophisticated	утонченный
sound	звук
sovereignty	суверенитет
spam	спам
span	промежуток
spare	запасной
spark	искра
specialize	специализироваться
specialized	специализированный
specification	спецификация
specify	указывать
specimen	образец
spectacle	спектакль
spectacular	впечатляющий
spectator	зритель
spectrum	спектр
speculate	спекулировать
speculation	спекуляция
spell	заклинание
sphere	сфера
spice	приправа
spill	проливать
spin	вращение
spine	позвоночник
spite	злоба
spoil	портить
spokesman	представитель
spokesperson	докладчик
spokeswoman	пресс-секретарь
sponsorship	спонсорство
sporting	спортивный
spotlight	прожектор
spouse	супруг
spy	шпион
squad	команда
squeeze	сжимать
stab	удар ножом
stability	стабильность
stabilize	стабилизация
stake	доля
stall	стойло
stance	позиция
standing	стоящий
stark	застывший
starve	голодать
statistical	статистические данные
steadily	непрерывно
steam	пар
steer	управлять
stem	основа
stereotype	стереотип
stimulate	стимулировать
stimulus	стимул
stir	мешать
storage	место хранения
straightforward	простой
strain	напряжение
strand	прядь
strategic	стратегический
strengthen	усилить
strictly	строго
striking	поразительный
strip	полоса
strip	полоса
strive	стараться
stroke	удар
structural	структурный
stumble	спотыкаться
stun	оглушать
stunning	ошеломляющий
submission	подчинение
subscriber	подписчик
subscription	подписка
subsequent	последующий
subsequently	впоследствии
subsidy	субсидия
substantial	существенный
substantially	по существу
substitute	замена
substitution	замена
subtle	тонкий
suburb	пригород
suburban	пригородный
succession	последовательность
successive	последовательный
successor	преемник
suck	сосать
sue	предъявлять иск
suffering	страдающий
sufficient	достаточный
sufficiently	достаточно
suicide	самоубийство
suite	набор
summit	встреча на высшем уровне
super	супер
superb	превосходный
superior	превосходящий
supervise	наблюдать
supervision	надзор
supervisor	руководитель
supplement	дополнение
supportive	поддерживающий
supposedly	предположительно
suppress	подавлять
supreme	высший
surge	волна
surgeon	хирург
surgical	хирургический
surplus	избыток
surrender	сдаваться
surveillance	наблюдение
survival	выживание
survivor	уцелевший
suspend	приостановить
suspension	подвеска
suspicion	подозрение
suspicious	подозрительный
sustain	поддерживать
sustainable	устойчивый
swallow	глотать
swing	качать
sword	меч
symbolic	символический
sympathetic	сочувственный
syndrome	синдром
synthesis	синтез
systematic	систематическое
tackle	снасти
tactic	тактика
tactical	тактический
tag	метка
tap	кран
taxpayer	налогоплательщик
technological	технологический
teens	подростки
temple	храм
temporarily	временно
tempt	искушать
tenant	арендатор
tendency	тенденция
tender	нежный
tension	напряжение
tenure	владение
terminal	терминал
terminate	прекратить
terms	условия
terrain	местность
terribly	ужасно
terrific	потрясающий
terrify	устрашать
territory	территория
terror	террор
terrorism	терроризм
terrorist	террорист
testify	свидетельствовать
testimony	свидетельство
testing	тестирование
textbook	учебник
texture	текстура
thankfully	благодарно
theatrical	театральный
theft	кража
theology	богословие
theoretical	теоретический
therapist	терапевт
thereafter	впоследствии
thereby	тем самым
thesis	тезис
thoughtful	задумчивый
thought-provoking	наводит на размышления
thorough	тщательный
thoroughly	тщательно
thread	нить
threshold	порог
thrilled	взволнованный
thrive	процветать
thumb	большой палец
tide	прилив
tighten	затягивать
timber	древесина
timely	своевременно
timing	синхронизация
tissue	ткань
tobacco	табак
tolerance	толерантность
tolerate	терпеть
toll	пошлина
ton	тонна
tonne	тонна
top	верхний
torture	пытка
toss	бросать жребий
total	весь
tournament	турнир
toxic	токсичный
trace	след
trademark	товарный знак
trading	торговый
tragedy	трагедия
tragic	трагический
trail	след
trailer	прицеп
trait	черта характера
transaction	операция
transcript	расшифровка
transformation	преобразование
transit	транзит
transmission	коробка передач
transmit	передавать
transparency	прозрачность
transparent	прозрачный
transportation	перевозка
trap	ловушка
trauma	травма
treasure	сокровище
treaty	договор
tremendous	огромный
tribal	племенной
tribe	племя
tribunal	трибунал
tribute	дань уважения
trigger	спусковой крючок
trillion	трлн.
trio	трио
triumph	триумф
troop	отряд
trophy	трофей
troubled	беспокойный
trustee	доверенное лицо
tsunami	цунами
tuition	обучение
turnout	оказаться
turnover	оборот
twist	твист
ultimate	окончательный
unacceptable	неприемлемый
uncertainty	неопределенность
undergo	претерпеть
undergraduate	студент
underlying	фундаментальный
undermine	подрывать
undertake	предпринимать
undoubtedly	несомненно
unfold	раскрываться
unfortunate	несчастный
unify	унифицировать
unite	объединять
unity	единство
universal	универсальный
unprecedented	беспрецедентный
unveil	открывать
upcoming	предстоящий
upgrade	обновлять
uphold	поддерживать
urgent	срочный
usage	использование
useless	бесполезный
utility	польза
utilize	утилизировать
utterly	вконец
vacuum	вакуум
vague	неопределенный
valid	действительный
validity	допустимость
vanish	пропадать
variable	переменная
variation	изменение
varied	разнообразный
vein	вена
venture	предприятие
verbal	словесный
verdict	вердикт
verify	проверить
verse	стих
versus	против
vertical	вертикальный
vessel	судно
veteran	ветеран
viable	жизнеспособный
vibrant	вибрирующий
vice	порок
vicious	порочный
viewpoint	точка зрения
villager	сельский житель
violate	нарушать
violation	нарушение
virtue	добродетель
visa	виза
visible	видимый
vocal	вокальный
voluntary	добровольный
voting	голосование
vow	клятва
vulnerability	уязвимость
vulnerable	уязвимый
wander	бродить
ward	палата
warehouse	склад
warfare	военные действия
warming	согревание
warrant	доверенность
warrior	воин
weaken	слабеть
weave	ткать
weed	сорняк
weekly	еженедельно
weird	странный
welfare	благосостояние
well	хорошо
well-being	благополучие
whatsoever	Любой
wheat	пшеница
whereby	Посредством чего
whilst	в то время как
whip	кнут
whoever	кто бы ни
wholly	полностью
widen	расширять
widespread	широко распространенный
widow	вдова
width	ширина
willingness	готовность
wipe	протирать
wisdom	мудрость
wit	остроумие
withdraw	вывести
withdrawal	вывод
workforce	рабочая сила
workout	тренировка
workplace	рабочее место
workshop	мастерская
worm	червь
worship	поклонение
worthwhile	стоящий
worthy	достойный
wrist	запястье
yell	кричать
yield	уступать
youngster	юнец
